species,common.name
ANOC,Wolf Eel
APFL,Penpoint Gunnel
ARHA,Scalyhead sculpin (Artedius harringtoni)
AUFL,Tubesnout
BAITBALL,"Bait, Sardines/Anchovies"
BATH,Ronquils
BLEN,Blennies
BOTH,Lefteyed flounders
BRFR,Kelp Surfperch
CHNU,Mosshead warbonnet
CHPU,Roughback Sculpin
CISO,Pacific Sanddab
CIST,Speckled Sanddab
CITH,Sanddabs
CLIN,Kelpfishes and Fringeheads
CLUP,Herring
COTT,Sculpins
CYAG,Shiner Surfperch
EMBI,Surfperches
EMLA,Striped Surfperch
ENBI,Buffalo Sculpin
ENMO,Northern Anchovy
GOBI,Gobies
GOMA,Northern Clingfish
HEDE,Kelp Greenling
HEHE,Red Irish Lord
HELA,Rock Greenling
HEST,Whitespotted greenling
HEXA,unidentified Hexagrammos
JOZO,Longfin Sculpin
LIPA,Snailfish
MYPO,Great Sculpin
NO_DATA,"Transect not done, data not available"
NO_ORG,No organisms present in this sample
OPEL,Lingcod
OXPI,Painted Greenling
PHOL,Gunnels
PLCO,C-O sole
PLEU,Righteyed flounders
PLST,Starry Flounder
PONO,plainfin midshipman
RHBI,big skate
RHNI,Blackeye Goby
RHRI,Grunt sculpin
RHVA,Pile perch
RIMU,Kelp clingfish
ROJO,northern ronquil
RYOY,"Rockfish young of the year, unidentified sp."
SASA,pacific sardine
SCMA,cabezon
SEAU,brown rockfish
SEBSPP,"Rockfish, unidentified sp."
SEBYT,black and yellowtail rockfish YOY complex
SECA,copper rockfish
SEFL,Yellowtail rockfish
SEMA,Quillback rockfish
SEME,black rockfish
SEMI,vermilion rockfish
SEMY,blue rockfish
SENE,china rockfish
SEPA,bocaccio
SEPI,canary rockfish
SQAC,Spiny dogfish
STICH,Pricklebacks
SYGI,Manacled sculpin (Synchirus gilli)
SYLE,Bay pipefish
UNID,Unidentified Fish