"Location","Independent","Pups","Total"
"SOUTH RAFT RIVER",3,0,3
"DESTRUCTION I.",531,4,535
"HOH RIVER MOUTH",10,0,10
"MIDDLE Rk/DIAMOND ROCK",209,8,217
"NORTH ROCK",1,0,1
"PERKINS REEF (ROCK 443)",30,0,30
"GIANTS GRAVEYARD",16,0,16
"CAPE JOHNSON/BLUFF PT.",0,0,0
"CEDAR CRK./NOR. MEM.",143,1,144
"SAND PT.",35,4,39
"INSHORE WHITE ROCK /WEDDING ROCKS",3,0,3
"WEDDING ROCKS",0,0,0
"OZETTE I.",14,1,15
"OZETTE/CAPE ALAVA/BODELTEH",3,1,4
"WEST END OF BODELTEH",0,0,0
"UMATILLA REEF",0,0,0
"OZETTE RIVER",0,0,0
"DUK PT.",62,8,70
"FATHER AND SON",6,2,8
"PT. OF ARCHES",0,0,0
"ANDERSON PT.",7,0,7
"S. PORTAGE HEAD",0,0,0
"ARCHAWAT CREEK",0,0,0
"MAKAH BAY",0,0,0
"BAHOBOHOSH PT.",0,0,0
"WAATCH PT.",0,0,0
"FUCA PILLAR",0,0,0
"TATOOSH I.",3,0,3
"Totals",1076,29,1105