"YEAR","SITE","SPECIES","COUNT","bin_min","bin_max","bin_range"
2015,"Cape Alava","SEME",35,30,32,"30-32"
2015,"Neah Bay","SEME",3,20,22,"20-22"
2015,"Neah Bay","SEME",2,24,26,"24-26"
2015,"Neah Bay","SEME",1,30,32,"30-32"
2015,"Neah Bay","SEME",1,34,36,"34-36"
2015,"Tatoosh Island","SEME",1,40,42,"40-42"
2016,"Cape Alava","SEME",6,24,26,"24-26"
2016,"Cape Alava","SEME",1,26,28,"26-28"
2016,"Cape Alava","SEME",2,26,28,"26-28"
2016,"Cape Alava","SEME",1,28,30,"28-30"
2016,"Cape Alava","SEME",1,28,30,"28-30"
2016,"Cape Alava","SEME",16,30,32,"30-32"
2016,"Cape Alava","SEME",3,32,34,"32-34"
2016,"Cape Alava","SEME",12,34,36,"34-36"
2016,"Cape Alava","SEME",1,36,38,"36-38"
2016,"Cape Alava","SEME",4,38,40,"38-40"
2016,"Cape Alava","SEME",1,40,42,"40-42"
2016,"Cape Alava","SEME",2,42,44,"42-44"
2016,"Neah Bay","SEME",3,24,26,"24-26"
2016,"Neah Bay","SEME",4,30,32,"30-32"
2016,"Neah Bay","SEME",3,34,36,"34-36"
2016,"Tatoosh Island","SEME",1,22,24,"22-24"
2016,"Tatoosh Island","SEME",1,24,26,"24-26"
2016,"Tatoosh Island","SEME",4,24,26,"24-26"
2016,"Tatoosh Island","SEME",1,26,28,"26-28"
2016,"Tatoosh Island","SEME",11,30,32,"30-32"
2016,"Tatoosh Island","SEME",8,34,36,"34-36"
2017,"Cape Alava","SEME",1,10,12,"10-12"
2017,"Cape Alava","SEME",2,20,22,"20-22"
2017,"Cape Alava","SEME",7,24,26,"24-26"
2017,"Cape Alava","SEME",16,30,32,"30-32"
2017,"Cape Alava","SEME",50,34,36,"34-36"
2017,"Cape Alava","SEME",47,40,42,"40-42"
2017,"Cape Alava","SEME",3,44,46,"44-46"
2017,"Cape Johnson","SEME",1,32,34,"32-34"
2017,"Cape Johnson","SEME",2,32,34,"32-34"
2017,"Cape Johnson","SEME",1,34,36,"34-36"
2017,"Cape Johnson","SEME",2,36,38,"36-38"
2017,"Cape Johnson","SEME",2,42,44,"42-44"
2017,"Destruction Island","SEME",4,24,26,"24-26"
2017,"Destruction Island","SEME",1,30,32,"30-32"
2017,"Destruction Island","SEME",1,34,36,"34-36"
2017,"Neah Bay","SEME",3,10,12,"10-12"
2017,"Neah Bay","SEME",5,24,26,"24-26"
2017,"Neah Bay","SEME",20,30,32,"30-32"
2017,"Neah Bay","SEME",42,34,36,"34-36"
2017,"Neah Bay","SEME",24,40,42,"40-42"
2017,"Neah Bay","SEME",2,44,46,"44-46"
2017,"Tatoosh Island","SEME",3,14,16,"14-16"
2017,"Tatoosh Island","SEME",6,24,26,"24-26"
2017,"Tatoosh Island","SEME",10,30,32,"30-32"
2017,"Tatoosh Island","SEME",19,34,36,"34-36"
2017,"Tatoosh Island","SEME",23,40,42,"40-42"
2017,"Tatoosh Island","SEME",5,44,46,"44-46"
2017,"Tatoosh Island","SEME",4,50,52,"50-52"
2018,"Cape Alava","SEME",24,30,32,"30-32"
2018,"Cape Alava","SEME",4,32,34,"32-34"
2018,"Cape Alava","SEME",7,34,36,"34-36"
2018,"Cape Alava","SEME",51,36,38,"36-38"
2018,"Cape Alava","SEME",5,40,42,"40-42"
2018,"Cape Alava","SEME",4,44,46,"44-46"
2018,"Cape Alava","SEME",10,50,52,"50-52"
2018,"Cape Johnson","SEME",1,14,16,"14-16"
2018,"Cape Johnson","SEME",2,24,26,"24-26"
2018,"Cape Johnson","SEME",2,30,32,"30-32"
2018,"Neah Bay","SEME",42,30,32,"30-32"
2018,"Tatoosh Island","SEME",2,14,16,"14-16"
2018,"Tatoosh Island","SEME",9,20,22,"20-22"
2018,"Tatoosh Island","SEME",4,24,26,"24-26"
2018,"Tatoosh Island","SEME",7,30,32,"30-32"
2018,"Tatoosh Island","SEME",23,32,34,"32-34"
2018,"Tatoosh Island","SEME",6,34,36,"34-36"
2019,"Cape Alava","SEME",14,20,22,"20-22"
2019,"Cape Alava","SEME",26,24,26,"24-26"
2019,"Cape Alava","SEME",29,30,32,"30-32"
2019,"Cape Alava","SEME",5,32,34,"32-34"
2019,"Cape Alava","SEME",26,34,36,"34-36"
2019,"Cape Alava","SEME",1,36,38,"36-38"
2019,"Cape Alava","SEME",1,38,40,"38-40"
2019,"Cape Alava","SEME",5,38,40,"38-40"
2019,"Cape Alava","SEME",22,40,42,"40-42"
2019,"Cape Alava","SEME",1,40,42,"40-42"
2019,"Cape Alava","SEME",1,42,44,"42-44"
2019,"Cape Alava","SEME",3,42,44,"42-44"
2019,"Cape Alava","SEME",1,44,46,"44-46"
2019,"Cape Alava","SEME",14,44,46,"44-46"
2019,"Cape Alava","SEME",4,50,52,"50-52"
2019,"Cape Johnson","SEME",1,14,16,"14-16"
2019,"Cape Johnson","SEME",2,18,20,"18-20"
2019,"Cape Johnson","SEME",1,26,28,"26-28"
2019,"Cape Johnson","SEME",5,30,32,"30-32"
2019,"Cape Johnson","SEME",1,32,34,"32-34"
2019,"Cape Johnson","SEME",1,36,38,"36-38"
2019,"Cape Johnson","SEME",1,38,40,"38-40"
2019,"Destruction Island","SEBYT",7,10,12,"10-12"
2019,"Destruction Island","SEME",10,10,12,"10-12"
2019,"Destruction Island","SEME",21,14,16,"14-16"
2019,"Destruction Island","SEME",2,18,20,"18-20"
2019,"Destruction Island","SEME",57,20,22,"20-22"
2019,"Destruction Island","SEME",39,24,26,"24-26"
2019,"Destruction Island","SEME",9,30,32,"30-32"
2019,"Destruction Island","SEME",65,34,36,"34-36"
2019,"Destruction Island","SEME",20,40,42,"40-42"
2019,"Destruction Island","SEME",12,44,46,"44-46"
2019,"Destruction Island","SEME",18,50,52,"50-52"
2019,"Destruction Island","SEME",18,54,56,"54-56"
2019,"Neah Bay","SEME",1,20,22,"20-22"
2019,"Neah Bay","SEME",1,24,26,"24-26"
2019,"Neah Bay","SEME",7,30,32,"30-32"
2019,"Neah Bay","SEME",21,34,36,"34-36"
2019,"Neah Bay","SEME",8,40,42,"40-42"
2019,"Neah Bay","SEME",8,44,46,"44-46"
2019,"Tatoosh Island","SEME",12,14,16,"14-16"
2019,"Tatoosh Island","SEME",3,20,22,"20-22"
2019,"Tatoosh Island","SEME",7,24,26,"24-26"
2019,"Tatoosh Island","SEME",1,28,30,"28-30"
2019,"Tatoosh Island","SEME",9,30,32,"30-32"
2019,"Tatoosh Island","SEME",1,30,32,"30-32"
2019,"Tatoosh Island","SEME",5,34,36,"34-36"
2019,"Tatoosh Island","SEME",1,36,38,"36-38"
2019,"Tatoosh Island","SEME",2,36,38,"36-38"
2019,"Tatoosh Island","SEME",1,38,40,"38-40"
2019,"Tatoosh Island","SEME",3,40,42,"40-42"
2019,"Tatoosh Island","SEME",2,42,44,"42-44"
2019,"Tatoosh Island","SEME",3,42,44,"42-44"
2019,"Tatoosh Island","SEME",3,44,46,"44-46"
2021,"Cape Alava","SEME",3,10,12,"10-12"
2021,"Cape Alava","SEME",4,20,22,"20-22"
2021,"Cape Alava","SEME",1,24,26,"24-26"
2021,"Cape Alava","SEME",6,26,28,"26-28"
2021,"Cape Alava","SEME",9,30,32,"30-32"
2021,"Cape Alava","SEME",1,30,32,"30-32"
2021,"Cape Alava","SEME",1,32,34,"32-34"
2021,"Cape Alava","SEME",6,32,34,"32-34"
2021,"Cape Alava","SEME",1,34,36,"34-36"
2021,"Cape Alava","SEME",19,34,36,"34-36"
2021,"Cape Alava","SEME",9,40,42,"40-42"
2021,"Cape Alava","SEME",1,40,42,"40-42"
2021,"Cape Alava","SEME",7,44,46,"44-46"
2021,"Cape Alava","SEME",1,46,48,"46-48"
2021,"Cape Johnson","SEME",1,24,26,"24-26"
2021,"Destruction Island","SEME",2,10,12,"10-12"
2021,"Destruction Island","SEME",1,12,14,"12-14"
2021,"Destruction Island","SEME",1,12,14,"12-14"
2021,"Destruction Island","SEME",1,14,16,"14-16"
2021,"Destruction Island","SEME",1,16,18,"16-18"
2021,"Destruction Island","SEME",1,22,24,"22-24"
2021,"Destruction Island","SEME",7,24,26,"24-26"
2021,"Destruction Island","SEME",1,26,28,"26-28"
2021,"Destruction Island","SEME",8,26,28,"26-28"
2021,"Destruction Island","SEME",12,30,32,"30-32"
2021,"Destruction Island","SEME",3,34,36,"34-36"
2021,"Destruction Island","SEME",3,38,40,"38-40"
2021,"Destruction Island","SEME",2,42,44,"42-44"
2021,"Destruction Island","SEME",1,44,46,"44-46"
2021,"Neah Bay","SEME",3,24,26,"24-26"
2021,"Neah Bay","SEME",9,30,32,"30-32"
2021,"Neah Bay","SEME",27,34,36,"34-36"
2021,"Neah Bay","SEME",18,40,42,"40-42"
2021,"Neah Bay","SEME",2,44,46,"44-46"
2021,"Neah Bay","SEME",8,50,52,"50-52"
2021,"Tatoosh Island","SEME",10,24,26,"24-26"
2021,"Tatoosh Island","SEME",8,30,32,"30-32"
2021,"Tatoosh Island","SEME",3,34,36,"34-36"
2022,"Cape Alava","SEME",5,28,30,"28-30"
2022,"Cape Alava","SEME",4,28,30,"28-30"
2022,"Cape Alava","SEME",1,34,36,"34-36"
2022,"Cape Alava","SEME",3,36,38,"36-38"
2022,"Neah Bay","SEME",1,24,26,"24-26"
2022,"Neah Bay","SEME",18,30,32,"30-32"
2022,"Neah Bay","SEME",22,34,36,"34-36"
2022,"Neah Bay","SEME",16,40,42,"40-42"
2022,"Neah Bay","SEME",7,44,46,"44-46"
2022,"Neah Bay","SEME",1,50,52,"50-52"
2022,"Tatoosh Island","SEBYT",11,12,14,"12-14"
2022,"Tatoosh Island","SEME",3,20,22,"20-22"
2022,"Tatoosh Island","SEME",2,22,24,"22-24"
2022,"Tatoosh Island","SEME",5,24,26,"24-26"
2022,"Tatoosh Island","SEME",2,26,28,"26-28"
2022,"Tatoosh Island","SEME",1,26,28,"26-28"
2022,"Tatoosh Island","SEME",8,30,32,"30-32"
2022,"Tatoosh Island","SEME",6,30,32,"30-32"
2022,"Tatoosh Island","SEME",5,32,34,"32-34"
2022,"Tatoosh Island","SEME",3,32,34,"32-34"
2022,"Tatoosh Island","SEME",14,34,36,"34-36"
2022,"Tatoosh Island","SEME",4,36,38,"36-38"
2022,"Tatoosh Island","SEME",2,36,38,"36-38"
2022,"Tatoosh Island","SEME",5,38,40,"38-40"
2023,"Cape Alava","SEME",1,12,14,"12-14"
2023,"Cape Alava","SEME",1,20,22,"20-22"
2023,"Cape Alava","SEME",1,24,26,"24-26"
2023,"Cape Alava","SEME",8,24,26,"24-26"
2023,"Cape Alava","SEME",1,26,28,"26-28"
2023,"Cape Alava","SEME",1,28,30,"28-30"
2023,"Cape Alava","SEME",28,30,32,"30-32"
2023,"Cape Alava","SEME",13,32,34,"32-34"
2023,"Cape Alava","SEME",6,34,36,"34-36"
2023,"Cape Alava","SEME",12,34,36,"34-36"
2023,"Cape Alava","SEME",4,36,38,"36-38"
2023,"Cape Alava","SEME",2,36,38,"36-38"
2023,"Cape Alava","SEME",27,38,40,"38-40"
2023,"Cape Alava","SEME",15,40,42,"40-42"
2023,"Cape Alava","SEME",28,42,44,"42-44"
2023,"Cape Alava","SEME",11,44,46,"44-46"
2023,"Cape Alava","SEME",12,48,50,"48-50"
2023,"Cape Alava","SEME",16,50,52,"50-52"
2023,"Cape Alava","SEME",3,52,54,"52-54"
2023,"Cape Johnson","SEME",5,20,22,"20-22"
2023,"Cape Johnson","SEME",6,24,26,"24-26"
2023,"Cape Johnson","SEME",10,30,32,"30-32"
2023,"Cape Johnson","SEME",6,34,36,"34-36"
2023,"Cape Johnson","SEME",1,40,42,"40-42"
2023,"Destruction Island","SEME",2,20,22,"20-22"
2023,"Destruction Island","SEME",22,30,32,"30-32"
2023,"Destruction Island","SEME",17,34,36,"34-36"
2023,"Destruction Island","SEME",14,40,42,"40-42"
2023,"Destruction Island","SEME",2,44,46,"44-46"
2023,"Neah Bay","SEME",2,24,26,"24-26"
2023,"Neah Bay","SEME",6,30,32,"30-32"
2023,"Neah Bay","SEME",12,34,36,"34-36"
2023,"Neah Bay","SEME",14,40,42,"40-42"
2023,"Neah Bay","SEME",12,44,46,"44-46"
2023,"Neah Bay","SEME",2,50,52,"50-52"
2023,"Tatoosh Island","SEME",2,20,22,"20-22"
2023,"Tatoosh Island","SEME",1,22,24,"22-24"
2023,"Tatoosh Island","SEME",1,24,26,"24-26"
2023,"Tatoosh Island","SEME",8,24,26,"24-26"
2023,"Tatoosh Island","SEME",1,28,30,"28-30"
2023,"Tatoosh Island","SEME",22,30,32,"30-32"
2023,"Tatoosh Island","SEME",2,32,34,"32-34"
2023,"Tatoosh Island","SEME",10,34,36,"34-36"
2024,"Cape Alava","SEME",1,28,30,"28-30"
2024,"Neah Bay","SEME",3,24,26,"24-26"
2024,"Neah Bay","SEME",1,26,28,"26-28"
2024,"Neah Bay","SEME",25,30,32,"30-32"
2024,"Neah Bay","SEME",12,34,36,"34-36"
2024,"Neah Bay","SEME",2,36,38,"36-38"
2024,"Neah Bay","SEME",5,40,42,"40-42"
2024,"Tatoosh Island","SEME",15,20,22,"20-22"
2024,"Tatoosh Island","SEME",1,22,24,"22-24"
2024,"Tatoosh Island","SEME",1,24,26,"24-26"
2024,"Tatoosh Island","SEME",32,24,26,"24-26"
2024,"Tatoosh Island","SEME",1,26,28,"26-28"
2024,"Tatoosh Island","SEME",5,28,30,"28-30"
2024,"Tatoosh Island","SEME",16,30,32,"30-32"
2024,"Tatoosh Island","SEME",7,30,32,"30-32"
2024,"Tatoosh Island","SEME",2,32,34,"32-34"
2024,"Tatoosh Island","SEME",7,34,36,"34-36"
2024,"Tatoosh Island","SEME",1,36,38,"36-38"
2024,"Tatoosh Island","SEME",2,40,42,"40-42"
2024,"Tatoosh Island","SEME",1,40,42,"40-42"
2024,"Tatoosh Island","SEME",1,42,44,"42-44"
2024,"Tatoosh Island","SEME",1,44,46,"44-46"
